"object_id","trap_attractant","trap_id","latitude","longitude","address","town","state","county","trap_site","trap_set","set_time_day","trap_collected","collected_time_day","genus_species","life_stage","eggs_collected","larvae_collected","pupae_collected","females_collected","males_collected","unknown_collected","report_date","total_collected","trap_time_out"
15,"ABC Trap: CO2 with light","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-05-30 04:00:00,"Morning",2016-06-01 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",5,0,0,2017-12-04 23:55:00,5,-2
16,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-07-05 04:00:00,"Morning",2016-07-07 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",64,1,0,2017-12-06 16:05:00,65,-2
17,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-08-15 04:00:00,"Morning",2016-08-17 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",6,0,0,2017-12-08 18:43:00,6,-2
18,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-10-11 04:00:00,"Morning",2016-10-13 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",4,3,0,2017-12-12 18:01:00,7,-2
19,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-06-20 04:00:00,"Morning",2016-06-22 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",336,31,0,2017-12-05 19:53:00,367,-2
20,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-08-29 04:00:00,"Morning",2016-08-31 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",10,1,0,2017-12-11 17:14:00,11,-2
21,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-05-23 04:00:00,"Morning",2016-05-25 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",8,0,0,2017-12-04 22:36:00,8,-2
22,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-06-06 04:00:00,"Morning",2016-06-08 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",109,0,0,2017-12-05 16:14:00,109,-2
23,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-09-19 04:00:00,"Morning",2016-09-21 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",33,0,0,2017-12-11 22:16:00,33,-2
24,"ABC Trap: CO2 with light","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-09-19 04:00:00,"Morning",2016-09-21 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",2,0,0,2017-12-11 22:17:00,2,-2
25,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-07-11 04:00:00,"Morning",2016-07-13 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",75,3,0,2017-12-06 17:59:00,78,-2
26,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-10-24 04:00:00,"Morning",2016-10-26 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",8,12,0,2017-12-12 21:24:00,20,-2
27,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-04-18 04:00:00,"Morning",2016-04-20 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",7,0,0,2017-09-28 22:31:00,7,-2
28,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-08-22 04:00:00,"Morning",2016-08-24 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",7,0,0,2017-12-08 20:24:00,7,-2
29,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-05-30 04:00:00,"Morning",2016-06-01 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",105,0,0,2017-12-04 23:56:00,105,-2
30,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-05-02 04:00:00,"Morning",2016-05-04 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",2,2,0,2017-12-01 21:22:00,4,-2
31,"Gravid Trap: Hay or grass infusion","4B",38.980316,-77.051943,"6880 Oregon Ave. NW","Washington","DC","District of Columbia","Residential",2017-05-10 04:00:00,"Afternoon",2017-05-11 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",2,0,0,2017-09-12 19:12:00,2,-1
32,"Gravid Trap: Lure and grass infusion","4B",38.980316,-77.051943,"6880 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2017-07-05 04:00:00,"Afternoon",2017-07-06 04:00:00,"Morning","Aedes_j. japonicus","Adult","No","No","No",2,0,0,2017-09-20 20:30:00,2,-1
33,"Gravid Trap: Lure and grass infusion","4B",38.980316,-77.051943,"6880 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2017-08-09 04:00:00,"Afternoon",2017-08-10 04:00:00,"Morning","Aedes_j. japonicus","Adult","No","No","No",3,0,0,2017-09-26 13:43:00,3,-1
34,"Gravid Trap: Lure and grass infusion","4B",38.980316,-77.051943,"6880 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2017-06-14 04:00:00,"Afternoon",2017-06-15 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",3,1,0,2017-09-19 18:49:00,4,-1
35,"Gravid Trap: Lure and grass infusion","4B",38.980316,-77.051943,"6880 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2017-07-26 04:00:00,"Afternoon",2017-07-27 04:00:00,"Morning","Aedes_j. japonicus","Adult","No","No","No",3,0,0,2017-09-21 22:02:00,3,-1
36,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-06-27 04:00:00,"Morning",2016-06-29 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",21,2,0,2017-12-05 21:59:00,23,-2
37,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-10-17 04:00:00,"Morning",2016-10-19 04:00:00,"Morning","Aedes_sp.","Adult","No","No","No",5,0,0,2017-12-12 20:27:00,5,-2
38,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-07-18 04:00:00,"Morning",2016-07-20 04:00:00,"Morning","Aedes_j. japonicus","Adult","No","No","No",2,0,0,2017-12-07 15:47:00,2,-2
39,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-10-24 04:00:00,"Morning",2016-10-26 04:00:00,"Morning","Aedes_albopictus","Adult","No","No","No",4,0,0,2017-12-12 21:27:00,4,-2
40,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-05-23 04:00:00,"Morning",2016-05-25 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",6,2,0,2017-12-04 22:41:00,8,-2
41,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-06-06 04:00:00,"Morning",2016-06-08 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",45,4,0,2017-12-05 16:16:00,49,-2
42,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-09-06 04:00:00,"Morning",2016-09-08 04:00:00,"Morning","Aedes_albopictus","Adult","No","No","No",2,0,0,2017-12-11 18:20:00,2,-2
43,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-09-12 04:00:00,"Morning",2016-09-14 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",2,0,0,2017-12-11 21:25:00,2,-2
44,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-07-25 04:00:00,"Morning",2016-07-27 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",15,0,0,2017-12-07 19:14:00,15,-2
45,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-09-26 04:00:00,"Morning",2016-09-28 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",3,0,0,2017-12-12 15:59:00,3,-2
46,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-08-01 04:00:00,"Morning",2016-08-03 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",11,0,0,2017-12-07 21:43:00,11,-2
47,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-05-16 04:00:00,"Morning",2016-05-18 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",4,4,0,2017-12-04 21:30:00,8,-2
48,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-07-11 04:00:00,"Morning",2016-07-13 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",44,0,0,2017-12-06 18:05:00,44,-2
49,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-09-06 04:00:00,"Morning",2016-09-08 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",5,0,0,2017-12-11 18:19:00,5,-2
50,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-08-08 04:00:00,"Morning",2016-08-10 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",3,1,0,2017-12-08 17:28:00,4,-2
51,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-06-13 04:00:00,"Morning",2016-06-15 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",95,5,0,2017-12-05 18:12:00,100,-2
52,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-05-09 04:00:00,"Morning",2016-05-11 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",10,1,0,2017-12-04 18:45:00,11,-2
53,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-09-19 04:00:00,"Morning",2016-09-21 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",4,0,0,2017-12-11 22:19:00,4,-2
54,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-06-20 04:00:00,"Morning",2016-06-22 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",39,4,0,2017-12-05 19:57:00,43,-2
55,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-06-06 04:00:00,"Morning",2016-06-08 04:00:00,"Morning","Aedes_aegypti","Adult","No","No","No",6,0,0,2017-12-05 16:17:00,6,-2
56,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-07-18 04:00:00,"Morning",2016-07-20 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",29,0,0,2017-12-07 15:46:00,29,-2
57,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-10-17 04:00:00,"Morning",2016-10-19 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",3,0,0,2017-12-12 20:28:00,3,-2
58,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-07-11 04:00:00,"Morning",2016-07-13 04:00:00,"Morning","Aedes_j. japonicus","Adult","No","No","No",4,0,0,2017-12-06 18:03:00,4,-2
59,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-05-30 04:00:00,"Morning",2016-06-01 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",3,0,0,2017-12-05,3,-2
60,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-06-20 04:00:00,"Morning",2016-06-22 04:00:00,"Morning","Aedes_j. japonicus","Adult","No","No","No",7,0,0,2017-12-05 19:57:00,7,-2
61,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-06-27 04:00:00,"Morning",2016-06-29 04:00:00,"Morning","Aedes_j. japonicus","Adult","No","No","No",3,0,0,2017-12-05 21:55:00,3,-2
62,"Gravid Trap: Hay or grass infusion","4D",38.972854,-77.052976,"6300 Oregon Ave. NW","Washington","DC","District of Columbia","Urban Public Place",2016-08-29 04:00:00,"Morning",2016-08-31 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",2,1,0,2017-12-11 17:18:00,3,-2
63,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-07-02 04:00:00,"Afternoon",2018-07-03 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",6,0,0,2018-10-12 14:33:00,6,-1
64,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-06-19 04:00:00,"Afternoon",2018-06-20 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",2,0,0,2018-10-12 14:41:00,2,-1
65,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-05-15 04:00:00,"Afternoon",2018-05-16 04:00:00,"Afternoon","Aedes_albopictus","Adult","No","No","No",2,0,0,2018-10-12 14:47:00,2,-1
66,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-09-04 04:00:00,"Afternoon",2018-09-05 04:00:00,"Afternoon","Aedes_albopictus","Adult","No","No","No",2,0,0,2018-10-05 14:14:00,2,-1
67,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-05-29 04:00:00,"Afternoon",2018-05-30 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",5,0,0,2018-10-12 14:45:00,5,-1
68,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-05-15 04:00:00,"Afternoon",2018-05-16 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",8,0,0,2018-10-12 14:50:00,8,-1
69,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-09-11 04:00:00,"Afternoon",2018-09-12 04:00:00,"Afternoon","Aedes_albopictus","Adult","No","No","No",2,0,0,2018-10-05 15:38:00,2,-1
70,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-06-26 04:00:00,"Afternoon",2018-06-27 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",8,0,0,2018-10-12 14:36:00,8,-1
71,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-08-14 04:00:00,"Afternoon",2018-08-15 04:00:00,"Afternoon","Culex_restuans","Adult","No","No","No",4,0,0,2018-10-12 14:22:00,4,-1
72,"BGS Trap: Lure","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-07-10 04:00:00,"Afternoon",2018-07-11 04:00:00,"Afternoon","Aedes_albopictus","Adult","No","No","No",2,11,0,2018-10-12 14:26:00,13,-1
73,"BGS Trap: Lure","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-07-10 04:00:00,"Afternoon",2018-07-11 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",2,1,0,2018-10-12 14:28:00,3,-1
74,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-08-14 04:00:00,"Afternoon",2018-08-15 04:00:00,"Afternoon","Aedes_albopictus","Adult","No","No","No",4,1,0,2018-10-12 14:20:00,5,-1
75,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-07-10 04:00:00,"Afternoon",2018-07-11 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",2,0,0,2018-10-12 14:29:00,2,-1
76,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-06-26 04:00:00,"Afternoon",2018-06-27 04:00:00,"Afternoon","Aedes_j. japonicus","Adult","No","No","No",2,0,0,2018-10-12 14:39:00,2,-1
77,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-08-28 04:00:00,"Afternoon",2018-08-29 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",5,1,0,2018-10-12 14:17:00,6,-1
78,"Gravid Trap: Hay or grass infusion","4B",38.972853,-77.053002,"6417-6419 Oregon Ave. NW","Washington","DC","District of Columbia","Rock Creek Park",2018-06-05 04:00:00,"Afternoon",2018-06-06 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",3,0,0,2018-10-12 14:43:00,3,-1
79,"ABC Trap: CO2 with light","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2017-08-02 04:00:00,"Afternoon",2017-08-03 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",4,0,0,2017-09-25 21:57:00,4,-1
80,"BGS Trap: Lure","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2018-10-09 04:00:00,"Afternoon",2018-10-10 04:00:00,"Afternoon","Aedes_sp.","Adult","No","No","No",3,0,0,2018-10-12 13:31:00,3,-1
81,"Gravid Trap: Hay or grass infusion","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2016-07-25 04:00:00,"Morning",2016-07-27 04:00:00,"Morning","Aedes_albopictus","Adult","No","No","No",4,0,0,2017-12-07 19:08:00,4,-2
82,"Gravid Trap: Hay or grass infusion","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2016-09-06 04:00:00,"Morning",2016-09-08 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",9,0,0,2017-12-11 18:14:00,9,-2
83,"Gravid Trap: Hay or grass infusion","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2018-07-17 04:00:00,"Afternoon",2018-07-18 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",23,0,0,2018-08-24 18:31:00,23,-1
84,"Gravid Trap: Hay or grass infusion","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2016-07-11 04:00:00,"Morning",2016-07-13 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",38,0,0,2017-12-06 17:56:00,38,-2
85,"BGS Trap: Lure","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2018-06-12 04:00:00,"Afternoon",2018-06-13 04:00:00,"Afternoon","Aedes_triseriatus","Adult","No","No","No",2,0,0,2018-06-25 20:28:00,2,-1
86,"Gravid Trap: Lure and grass infusion","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2017-08-30 04:00:00,"Afternoon",2017-08-31 04:00:00,"Morning","Aedes_albopictus","Adult","No","No","No",8,3,0,2017-09-11 21:07:00,11,-1
87,"ABC Trap: CO2 with light","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2017-08-30 04:00:00,"Afternoon",2017-08-31 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",12,1,0,2017-09-11 21:09:00,13,-1
88,"ABC Trap: CO2 with light","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2017-08-16 04:00:00,"Afternoon",2017-08-17 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",2,0,0,2017-09-26 16:13:00,2,-1
89,"Gravid Trap: Hay or grass infusion","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2018-07-31 04:00:00,"Afternoon",2018-08-01 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",3,0,0,2018-08-31 14:40:00,3,-1
90,"Gravid Trap: Lure and grass infusion","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2017-08-09 04:00:00,"Afternoon",2017-08-10 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",3,0,0,2017-09-26 13:39:00,3,-1
91,"Gravid Trap: Hay or grass infusion","4A",38.971088,-77.029901,"6625 13th St. NW","Washington","DC","District of Columbia","Urban Public Place",2016-09-06 04:00:00,"Morning",2016-09-08 04:00:00,"Morning","Aedes_sp.","Adult","No","No","No",5,0,0,2017-12-11 18:15:00,5,-2
